"Date","Open","High","Low","Close","Adj.Close","Volume","MA_20","MA_50","Daily_Return","Lag_1_Close","Lag_5_Close","Volatility_20"
2020-08-31,521.159973,531.98999,517.580017,529.559998,529.559998,4941400,498.0475008,492.99560196,5.669983,523.890015,488.809998,20.5703687491738
2020-09-01,532.599976,557.390015,532.450012,556.549988,556.549988,9572700,500.39299945,494.76580154,26.98999,529.559998,490.579987,24.2983524282579
2020-09-02,553.780029,556.5,537.369995,552.840027,552.840027,5886900,502.92950155,496.49740188,-3.70996100000002,556.549988,547.530029,26.9862094267016
2020-09-03,545,554,521.320007,525.75,525.75,9071100,503.7630022,497.85540176,-27.090027,552.840027,526.27002,27.4397969694604
2020-09-04,520.179993,527.359985,485.980011,516.049988,516.049988,8270100,504.82900105,498.85820144,-9.70001200000002,525.75,523.890015,27.4844977509763
2020-09-08,498.399994,522,495,507.019989,507.019989,5572700,506.01100025,500.13060134,-9.02999899999998,516.049988,529.559998,27.0178822559324
2020-09-09,519.210022,520,492.570007,500.190002,500.190002,6848100,507.6740007,501.18960158,-6.82998700000002,507.019989,556.549988,25.4647338731029
2020-09-10,503.350006,506.290009,478.839996,480.670013,480.670013,6240200,507.9340013,501.70220166,-19.519989,500.190002,552.840027,25.1431339399418
2020-09-11,486.48999,493.730011,476.809998,482.029999,482.029999,5035200,507.9690019,501.63000134,1.35998599999999,480.670013,525.75,25.1046082575742
2020-09-14,480.619995,488.98999,471.299988,476.26001,476.26001,7359100,507.64800275,501.61740124,-5.76998899999995,482.029999,516.049988,25.4831741667475
2020-09-15,484,497.470001,481.630005,495.98999,495.98999,5337000,508.33000195,501.66100108,19.72998,476.26001,507.019989,24.9473860145108
2020-09-16,499.98999,504.660004,483.309998,483.859985,483.859985,4394900,507.92950145,501.475000699999,-12.130005,495.98999,500.190002,25.2875163687668
2020-09-17,475.160004,478.399994,463.269989,470.200012,470.200012,5379300,507.2130021,500.82340096,-13.659973,483.859985,480.670013,26.1729283911444
2020-09-18,472.51001,479.399994,458.600006,469.959991,469.959991,6717700,505.81600195,500.06740058,-0.240021000000013,470.200012,482.029999,27.4124865503176
2020-09-21,467.690002,487.779999,466.320007,487.350006,487.350006,5457500,505.56800235,498.8398011,17.390015,469.959991,476.26001,27.5631282563572
2020-09-22,489.01001,491.820007,479.26001,491.170013,491.170013,3482300,505.6860031,498.15320136,3.82000699999998,487.350006,495.98999,27.4925709106255
2020-09-23,491.040009,491.040009,469,470.609985,470.609985,3726400,504.687503,497.067800959999,-20.560028,491.170013,483.859985,28.417176907623
2020-09-24,470.529999,477,467.820007,473.079987,473.079987,3727200,500.9650009,496.0642005,2.47000200000002,470.609985,470.200012,27.366513844981
2020-09-25,474.390015,484.869995,468.029999,482.880005,482.880005,3769400,498.79550015,495.1740003,9.80001799999997,473.079987,469.959991,26.9718995442623
2020-09-28,489.109985,492,477.880005,490.649994,490.649994,4773500,497.1334991,495.12720038,7.76998900000001,482.880005,487.350006,26.3614087761164
2020-09-29,489.5,496.290009,486.529999,493.480011,493.480011,3541500,495.32949975,494.94860052,2.830017,490.649994,491.170013,25.2360805321288
2020-09-30,492.570007,504.630005,489.269989,500.029999,500.029999,4634100,492.5035003,495.14720038,6.54998799999998,493.480011,470.609985,20.7931624713771
2020-10-01,506.029999,529.549988,503.600006,527.51001,527.51001,8153700,491.23699945,495.90100044,27.480011,500.029999,473.079987,17.4229662178764
2020-10-02,516.429993,526.369995,502.700012,503.059998,503.059998,6071200,490.10249935,496.41060066,-24.450012,527.51001,482.880005,15.7120965182327
2020-10-05,506.799988,520.98999,501.700012,520.650024,520.650024,4088100,490.33250115,497.214600899999,17.590026,503.059998,490.649994,16.1397688651802
2020-10-06,518.719971,521.820007,504.160004,505.869995,505.869995,4199000,490.27500145,497.41900092,-14.780029,520.650024,493.480011,16.0791234074568
2020-10-07,518,536.48999,515.820007,534.659973,534.659973,7988700,491.9985,498.34200018,28.789978,505.869995,500.029999,18.8128392608584
2020-10-08,533.47998,535,524.150024,531.789978,531.789978,5386500,494.55449825,499.28819952,-2.86999500000002,534.659973,527.51001,20.5821845071978
2020-10-09,537.830017,544.280029,535,539.440002,539.440002,4781300,497.4249984,500.3609998,7.65002400000003,531.789978,503.059998,22.6436351064921
2020-10-12,548.809998,551.809998,538.23999,539.809998,539.809998,5391100,500.6024978,501.37959966,0.369995999999901,539.440002,520.650024,23.939123905905
2020-10-13,540.559998,557.650024,537.200012,554.090027,554.090027,5602500,503.50749965,502.4890003,14.280029,539.809998,505.869995,26.7142887559693
2020-10-14,562.609985,572.48999,541,541.450012,541.450012,9499000,506.387001,503.12520024,-12.6400149999999,554.090027,534.659973,27.5749601345551
2020-10-15,545.52002,551.219971,535.099976,541.940002,541.940002,5113100,509.9740005,503.92180058,0.489990000000034,541.450012,531.789978,27.2844437083263
2020-10-16,549.5,554.330017,530.030029,530.789978,530.789978,6347400,513.01549985,504.3560004,-11.150024,541.940002,539.440002,25.9468546903058
2020-10-19,537.070007,541.799988,525.380005,530.719971,530.719971,7567500,515.1839981,505.0757996,-0.0700070000000323,530.789978,539.809998,25.4973983492318
2020-10-20,528.140015,533.780029,522.26001,525.419983,525.419983,10047200,516.8964966,505.91659916,-5.29998799999998,530.719971,554.090027,24.9438105530777
2020-10-21,501.029999,506.850006,488.25,489.049988,489.049988,17405700,517.81849675,506.358999059999,-36.369995,525.419983,541.450012,23.4382337362534
2020-10-22,494.690002,495.140015,482,485.230011,485.230011,6997900,518.42599795,506.554199259999,-3.81997699999999,489.049988,541.940002,22.3498018447554
2020-10-23,488.109985,490.059998,481.350006,488.279999,488.279999,4927900,518.69599765,506.693199499999,3.04998799999998,485.230011,530.789978,21.926389830076
2020-10-26,487.029999,496.820007,478.899994,488.23999,488.23999,6186100,518.57549745,506.804399439999,-0.0400089999999977,488.279999,530.719971,22.0946105882786
2020-10-27,490.01001,490.48999,482.929993,488.929993,488.929993,3627200,518.34799655,506.935999179999,0.690003000000047,488.23999,525.419983,22.3880864519839
2020-10-28,486.359985,494,483.279999,486.23999,486.23999,5992700,517.6584961,506.823399079999,-2.69000300000005,488.929993,489.049988,23.1802646522409
